@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute inputs-44 numeric
@attribute inputs-45 numeric
@attribute inputs-46 numeric
@attribute inputs-47 numeric
@attribute inputs-48 numeric
@attribute inputs-49 numeric
@attribute inputs-50 numeric
@attribute inputs-51 numeric
@attribute inputs-52 numeric
@attribute inputs-53 numeric
@attribute inputs-54 numeric
@attribute inputs-55 numeric
@attribute inputs-56 numeric
@attribute inputs-57 numeric
@attribute inputs-58 numeric
@attribute inputs-59 numeric
@attribute inputs-60 numeric
@attribute inputs-61 numeric
@attribute inputs-62 numeric
@attribute inputs-63 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
21,'2026/01/20 13:48:56:382',1,0.627183,0.619675,0,0.586365,0.577929,-0.017696,0.55614,0.498236,-0.032583,0.568867,0.437401,-0.049433,0.605522,0.411489,-0.064778,0.599629,0.37677,-0.017696,0.5815,0.285048,-0.049433,0.561811,0.22958,-0.067071,0.552554,0.179428,-0.080216,0.645287,0.390508,-0.0293,0.634618,0.327828,-0.072679,0.604103,0.402904,-0.076444,0.601786,0.441905,-0.067701,0.68109,0.427505,-0.045313,0.65031,0.404507,-0.08688,0.615286,0.477406,-0.071635,0.618766,0.502158,-0.050621,0.707135,0.477475,-0.063573,0.665252,0.464323,-0.087684,0.633792,0.51038,-0.075373,0.636552,0.524552,-0.060791,1
22,'2026/01/20 13:48:56:429',1,0.62404,0.617604,0,0.583978,0.577152,-0.016287,0.556339,0.498174,-0.029807,0.56884,0.442049,-0.045302,0.600675,0.413987,-0.059649,0.597346,0.37298,-0.017854,0.579902,0.282442,-0.048837,0.561397,0.22587,-0.06625,0.552288,0.175989,-0.079076,0.643634,0.387984,-0.029233,0.633739,0.332176,-0.071883,0.601874,0.407658,-0.076106,0.595601,0.447069,-0.068098,0.680373,0.425388,-0.04459,0.651702,0.405259,-0.085513,0.615698,0.479449,-0.070772,0.614567,0.505961,-0.050531,0.707385,0.475049,-0.061906,0.666928,0.468947,-0.085657,0.635239,0.515926,-0.07349,0.635538,0.528925,-0.059097,1
23,'2026/01/20 13:48:56:474',1,0.623317,0.618116,0,0.58386,0.578222,-0.020203,0.557756,0.500644,-0.035453,0.573097,0.441128,-0.051908,0.606175,0.407818,-0.066784,0.598025,0.37997,-0.021373,0.579376,0.283586,-0.053914,0.560701,0.226674,-0.071718,0.551492,0.174311,-0.08458,0.644881,0.392235,-0.0311,0.632345,0.330267,-0.07616,0.603452,0.402406,-0.081841,0.598506,0.443465,-0.074273,0.681065,0.427594,-0.045072,0.649044,0.409632,-0.087959,0.615804,0.481443,-0.074515,0.616085,0.507044,-0.054552,0.707195,0.475095,-0.061335,0.665748,0.468856,-0.086321,0.635413,0.515507,-0.075049,0.635339,0.52981,-0.061035,1
24,'2026/01/20 13:48:56:520',1,0.624509,0.620516,0,0.58457,0.580307,-0.020479,0.554237,0.503116,-0.037093,0.562977,0.445175,-0.055086,0.595287,0.414909,-0.071693,0.598979,0.380988,-0.021189,0.579551,0.284886,-0.054813,0.560988,0.225959,-0.07435,0.553016,0.172153,-0.088679,0.64553,0.394086,-0.031823,0.63213,0.328083,-0.07845,0.602532,0.405064,-0.08465,0.59972,0.449357,-0.07693,0.681015,0.429489,-0.046755,0.648651,0.400874,-0.089782,0.615128,0.477104,-0.073881,0.618176,0.507504,-0.052161,0.706305,0.478468,-0.064163,0.663491,0.46524,-0.08872,0.634086,0.515629,-0.075186,0.63872,0.533596,-0.059488,1
25,'2026/01/20 13:48:56:551',1,0.623662,0.621315,0,0.584077,0.582561,-0.019946,0.554687,0.502662,-0.035323,0.56662,0.441276,-0.052142,0.601318,0.411357,-0.067409,0.597511,0.381358,-0.020445,0.579476,0.283472,-0.053146,0.561677,0.225042,-0.071296,0.553996,0.171589,-0.084729,0.64416,0.394055,-0.030796,0.633041,0.331708,-0.076897,0.601874,0.410346,-0.081656,0.596859,0.454747,-0.07288,0.679785,0.42967,-0.045513,0.649506,0.407668,-0.088614,0.614393,0.483743,-0.072787,0.61523,0.512833,-0.050907,0.705547,0.478489,-0.062668,0.66491,0.468295,-0.0876,0.63351,0.51778,-0.07489,0.634925,0.534567,-0.059684,1
26,'2026/01/20 13:48:56:613',1,0.623622,0.623562,0,0.584735,0.583896,-0.019592,0.555029,0.507201,-0.035669,0.566233,0.448409,-0.053218,0.600141,0.41789,-0.069309,0.597881,0.377826,-0.020405,0.580482,0.283232,-0.052673,0.562722,0.22434,-0.07015,0.55535,0.171308,-0.083178,0.645124,0.391153,-0.030678,0.631927,0.331676,-0.07403,0.600501,0.413814,-0.07659,0.597145,0.45522,-0.067124,0.681676,0.427524,-0.045436,0.649681,0.406954,-0.087898,0.614258,0.484317,-0.071318,0.616192,0.511028,-0.049401,0.707696,0.476949,-0.062481,0.6649,0.468083,-0.087991,0.633725,0.51888,-0.075163,0.635847,0.535215,-0.059905,1
27,'2026/01/20 13:48:56:662',1,0.623919,0.623173,0,0.58381,0.580942,-0.019933,0.555852,0.502312,-0.035001,0.568305,0.443725,-0.051489,0.602746,0.415102,-0.066451,0.597646,0.37981,-0.01965,0.580614,0.281924,-0.052247,0.562942,0.223782,-0.070445,0.555322,0.169913,-0.083791,0.644927,0.392842,-0.029849,0.633557,0.329319,-0.076526,0.602163,0.407824,-0.082161,0.597425,0.452398,-0.073569,0.680913,0.428959,-0.044358,0.64958,0.405633,-0.087846,0.614917,0.481089,-0.073547,0.61692,0.510007,-0.052305,0.706345,0.477739,-0.061279,0.663722,0.471018,-0.086672,0.633321,0.519498,-0.075297,0.636161,0.535311,-0.060715,1
28,'2026/01/20 13:48:56:708',1,0.624056,0.624231,0,0.584605,0.583555,-0.019968,0.556167,0.505131,-0.034896,0.567898,0.445998,-0.051232,0.60205,0.41693,-0.066023,0.597728,0.380769,-0.019802,0.581222,0.282749,-0.052346,0.563702,0.224845,-0.070361,0.556211,0.170938,-0.083595,0.644646,0.394389,-0.029929,0.633163,0.328693,-0.076205,0.601738,0.406972,-0.081825,0.59743,0.450417,-0.07339,0.680705,0.430445,-0.04434,0.649217,0.40608,-0.088035,0.614756,0.482441,-0.0739,0.617598,0.510727,-0.052769,0.706549,0.47873,-0.061087,0.663823,0.470432,-0.086708,0.633355,0.520071,-0.075251,0.63672,0.536103,-0.060621,1
29,'2026/01/20 13:48:56:738',1,0.622916,0.625147,0,0.583717,0.582713,-0.020286,0.555815,0.505155,-0.036151,0.567083,0.447645,-0.053489,0.60132,0.420065,-0.069413,0.599156,0.379506,-0.020877,0.582346,0.282094,-0.053684,0.564771,0.224017,-0.072106,0.557404,0.170488,-0.085714,0.64634,0.392973,-0.031119,0.633112,0.330271,-0.077119,0.602068,0.407572,-0.082762,0.597984,0.449636,-0.07477,0.682503,0.429458,-0.045679,0.649065,0.406266,-0.089209,0.615073,0.481451,-0.07504,0.617689,0.509287,-0.054185,0.708067,0.47888,-0.062646,0.664091,0.470629,-0.088336,0.633308,0.519379,-0.076849,0.635611,0.53574,-0.062292,1
30,'2026/01/20 13:48:56:785',1,0.624744,0.625411,0,0.585077,0.582558,-0.020375,0.555837,0.505354,-0.036607,0.56622,0.447611,-0.054277,0.600913,0.420066,-0.070333,0.598992,0.378703,-0.020891,0.582793,0.280512,-0.053938,0.565003,0.221903,-0.071999,0.557402,0.167808,-0.085354,0.646482,0.392794,-0.031339,0.633886,0.330464,-0.077831,0.603058,0.410589,-0.08278,0.599756,0.453791,-0.074081,0.682828,0.429854,-0.04619,0.65085,0.407396,-0.089765,0.616148,0.483487,-0.074499,0.618501,0.510998,-0.052929,0.70834,0.479814,-0.063539,0.664863,0.473487,-0.089092,0.63429,0.52253,-0.077209,0.637077,0.537787,-0.062425,1
